6795228e-895e-4cbb-b635-755585d0532d,Donald Trumpâ€™s RNC address could mark the start of an American revival,"Donald Trump needed to give the speech of his life. He did that, and much more. He laid out an inspiring American Manifesto for our troubled times.","Not surprisingly, from start to finish, it is muscular and bold, leavened only by appeals to racial harmony and pledges of compassion for all. It offers a prominent nod to Bernie Sandersâ€™ supporters in a bid to get some to jump the Democratic ship.","If he wins, and can deliver on his vision, remember this speech. Like Ronald Reaganâ€™s in 1976, Trumpâ€™s 2016 address could mark the start of a desperately needed American revival. As he said near the end, â€œAmerica is back.â€ù Imagine that â€” and pray he is right."
213ead6e-c603-4048-b22a-7f2b3626c6a7,"Trump claims GOP nomination, tells struggling Americans 'I am your voice'","Just over a year after Donald J. Trump descended his iconic escalator in Manhattan to announce he was joining a packed field of political veterans seeking the Republican nomination for president, the New York billionaire completed an astonishing and historic political ascent Thursday night in Cleveland, officially claiming his partyâ€™s nomination â€” and declaring to struggling Americans, â€œI am your voice.â€ù","Trump electrified the convention crowd on closing night, with chants of â€œU.S.A.â€ù frequently breaking out as the nominee vowed to put â€œAmerica first.â€ù He used the speech to align his campaign squarely on the side of struggling American workers of all political stripes, as he moved to broaden his appeal beyond the Republican base that largely decided the primaries.","â€œFor more than a year, Donald Trump has been the peopleâ€™s champion, and tonight he is the peopleâ€™s nominee,â€ù she said. â€œâ€_ When my father says heâ€™ll make America great again, he will deliver.â€ù"
f72587c6-820c-48d5-851e-d9e0d0e16ba1,Was Trump's speech the longest ever?,Donald Trump formally accepted the Republican Party's presidential nomination at the Republican National Convention in Cleveland.,Donald Trump is making acceptance speeches great again. Or at least LONG again.,"From 1956 - 2012, Bill Clinton's 1996 convention speech was the longest: pic.twitter.com/cO05tfjn0g â€” National Journal (@nationaljournal) July 21, 2016"
5e3181fe-c06f-4ddf-9145-8c2f309748c0,Donald Trump doesnâ€™t want to make America great. He wants to make it afraid.,"Donald Trump is not a candidate the American people would turn to in normal times. Heâ€™s too inexperienced, too eccentric, too volatile, too risky. Voting Trump is burning down the house to collect the insurance money â€” you donâ€™t do it unless things are really, really bad.","Here is Trumpâ€™s problem: Things are not really, really bad. In fact, things are doing much better than when President Obama came into office.","But then, perhaps thereâ€™s truth to his absurd promises: When the crisis is invented, the solution is simpler. Once Trump no longer needs the nation to be afraid, he will stop scaring it. It is his nightmare, and only he can wake us from it."
9b6c83cc-f7cd-48ce-aecf-9d83048fc033,Emails reveal Hillaryâ€™s shocking pay-for-play scheme,"Hillary Clinton put the State Department up for sale, with top aides pulling strings and doing favors for fat-cat donors to the Clinton Foundation â€” including a shady billionaire, according to smoking-gun emails released Tuesday.","The stunning revelations include how wealthy contributors seeking influence or prestigious government gigs could fork over piles of cash to get access to Clintonâ€™s inner circle, including top aides Huma Abedin and Cheryl Mills.","â€œThey are communications between her aides and the presidentâ€™s personal aide, and indeed the recommendation was for one of the secretaryâ€™s former staffers who was not employed by the foundation,â€ù he added."
96a3d71b-81f4-44ae-a8d2-064be42bc3cd,Newly released emails raise questions about relationship between State Department and Clinton Foundation,"Democratic presidential nominee Hillary Clinton. The conservative watchdog group Judicial Watch on Tuesday released an additional 296 pages of emails from Hillary Clinton, including 44 that it said were not previously disclosed to the State Department by the former secretary of state.",Among the emails were some that raised questions about the relationship between the Clinton Foundation and the State Department.,"Neither of these emails involve the secretary or relate to the Foundation's work, Josh Schwerin, a Clinton campaign spokesman, said in an emailed statement to CNN. ""They are communications between her aides and the president's personal aide, and indeed the recommendation was for one of the secretary's former staffers who was not employed by the Foundation."""
6e2ec9f5-eb67-4422-84d8-3d68b1a50220,From Whitewater to Benghazi: A Clinton-Scandal Primer,"Oops, never mind! Thatâ€™s FBI Director James Comeyâ€™s new message to Congress and, by extension, the American public on Sunday. A little over a week ago, Comey shook the presidential election with a letter to the chairs of several congressional committees, announcing that the FBI had found a new tranche of emails pertinent to its investigation into Hillary Clintonâ€™s use of a private email server while secretary of state. The emails came from an unrelated case, he saidâ€”since widely reported to be an investigation into alleged sexts to a teenager from Anthony Weiner, whose estranged wife is a top Clinton aideâ€”and there was no timeline for finishing the review. The revelation gave new life to the struggling Donald Trump campaign, which seized on the matter as proof of Clintonâ€™s bad judgment. Her poll numbers, as well as her favorability figures and Democratic enthusiasm, sagged. New leaks began dripping out of the FBI on a daily basis, along with allegations that the bureau was trying to tip the election toward Trump. The Clinton campaign demanded that Comey say more, but no information was forthcoming.","But in a new letter on Sunday, Comey revealed that FBI agents had been working â€œaround the clockâ€ù to look at the emails. â€œDuring that process, we reviewed all of the communications that were to or from Hillary Clinton while she was Secretary of State,â€ù Comey wrote. â€œBased on our review, we have not changed our conclusions that we expressed in July with respect to Secretary Clinton.â€ù In other words, it was all much ado about nothing. Comeyâ€™s recommended in July was that although Clinton had been â€œextremely carelessâ€ù with classified information, there was no grounds for charging her with a crime. Put more bluntly, the FBI altered the course of the presidential campaign for what amounts to a fire drill. This doesnâ€™t mean the email story is gone entirely. On Friday, a new release showed that in at least one case Clinton forwarded emails to her daughter, Chelsea Clinton, that the government now labels classified. The chain in question was released on November 4, as part of the ongoing release of Clintonâ€™s emails from her time as secretary of state. The messages appeared to be related to climate talks in Copenhagen in December 2009, although they were redacted so that it is impossible to tell. They were sent to an email address that Chelsea Clinton used under an alias, â€œDiane Reynolds.â€ù It was not marked classified at the time. The emails and the private server through which they operated have been a defining story of the Clinton campaign. In March 2015, The New York Times first reported on Clintonâ€™s use of a private email address and a private server during her time at Foggy Bottom. The story has dogged Clinton ever since, raising questions about her judgment and trustworthiness.","Who? Both Cheryl Mills and Huma Abedin are among Clintonâ€™s longest-serving and closest aides. Abedin remains involved in her campaign (and sheâ€™s also married to Anthony Weiner). When? January 2009-February 2013 How serious is it? This is arcane stuff, to be sure. There are questions about conflict of interestâ€”such as whether Teneo clients might have benefited from special treatment by the State Department while Abedin worked for both. To a great extent, this is just an extension of the tangle of conflicts presented by the Clinton Foundation and the many overlapping roles of Bill and Hillary Clinton. Sidney Blumenthal What? A former journalist, Blumenthal was a top aide in the second term of the Bill Clinton administration and helped on messaging during the bad old days. He served as an adviser to Hillary Clintonâ€™s 2008 presidential campaign, and when she took over the State Department, she sought to hire Blumenthal. Obama aides, apparently still smarting over his role in attacks on candidate Obama, refused the request, so Clinton just sought out his counsel informally. At the same time, Blumenthal was drawing a check from the Clinton Foundation."
fa5f4d8e-5789-4a46-8ddc-4eaebf1c7aca,"Trump warns North Korea will be ""met with fire and fury""","President Trump addressed the ongoing crisis between the U.S. and North Korea at a briefing on opioids in New Jersey on Tuesday, issuing a stern warning to the regime for its continued provocations.","North Korea best not make any more threats to the United States, warned Mr. Trump from his golf club in Bedminster.","The U.S. in May successfully carried out its first-ever missile defense test to intercept an ICBM-type weapon, but other tests have had mixed results."
d0e5ed0e-e166-4eae-86f4-144c812eeed4,"North Korea Can Put a Nuclear Weapon on a Missile, Officials Believe","WASHINGTON â€” U.S. intelligence agencies have made an assessment that North Korea has constructed a nuclear weapon small enough to fit on a missile, according to a U.S. official briefed on the assessment.","The U.S. belief that North Korea has reached this milestone was first reported by The Washington Post, which said that the assessment came from a Defense Intelligence Agency analysis completed last month.","The official said, however, that this does not mean that North Korea has fielded a nuclear-tipped intercontinental ballistic missile. The North Koreans still have to establish that they can deliver a weapon accurately that survives reentry."
7e9742ef-5cf4-4790-bba1-c633f5be2156,Trump Warns North Korea of â€˜Fire and Fury Like the World Has Never Seenâ€™,"Speaking at his golf club in Bedminster, N.J., President Trump warned today, â€œNorth Korea best not make any more threats to the United States. They will be met with fire and fury like the world has never seen.â€ù","The statement comes in a series of escalating threats and provocative moves by North Koreaâ€™s regime. The Washington Post is reporting that U.S. intelligence officials assess that North Korea has successfully produced a miniaturized nuclear warhead that can fit inside its missiles. Japanâ€™s defense minister said â€œsecurity threats have entered a new stage.â€ù Yesterday, North Korea said it would use its nuclear weapons only against the United States, and said it would â€œunder no circumstancesâ€ù negotiate on its nuclear and missile weapons programs. Also yesterday, Fox News reported that U.S. spy agencies detected the North Korean military â€œloading two anti-ship cruise missiles on a patrol boat on the countryâ€™s east coast just days ago,â€ù suggesting another missile test may be on the way. Late last month, North Korea test-fired a missile that could hit much of the continental United States.","Unless China suddenly applies a great deal more pressure to Pyongyang, either this president or the next will face a devastating choice among bad options: accept a nuclear-armed North Korea that can strike American cities, fight a conventional war before those ballistic missiles are operational, or fight a nuclear war somewhere down the road."
